match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Afghanistan vs New Zealand,Afghanistan,1,Rahmanullah Gurbaz, b Boult,80,56,92,5,5,142.85
Afghanistan vs New Zealand,Afghanistan,2,Ibrahim Zadran, b Henry,44,41,66,3,2,107.31
Afghanistan vs New Zealand,Afghanistan,3,Azmatullah Omarzai,c Ferguson b Henry,22,13,9,1,2,169.23
Afghanistan vs New Zealand,Afghanistan,4,Mohammad Nabi,c Williamson b Ferguson,0,1,3,0,0,0.00
Afghanistan vs New Zealand,Afghanistan,5,Rashid Khan,run out (†Conway/Boult),6,5,8,1,0,120.00
Afghanistan vs New Zealand,Afghanistan,6,Karim Janat,,1,1,6,0,0,100.00
Afghanistan vs New Zealand,Afghanistan,7,Gulbadin Naib,c Phillips b Boult,0,2,3,0,0,0.00
Afghanistan vs New Zealand,Afghanistan,8,Najibullah Zadran,,1,1,1,0,0,100.00
Afghanistan vs New Zealand,New Zealand,1,Finn Allen, b Fazalhaq Farooqi,0,1,1,0,0,0.00
Afghanistan vs New Zealand,New Zealand,2,Devon Conway,c Ibrahim Zadran b Fazalhaq Farooqi,8,10,16,1,0,80.00
Afghanistan vs New Zealand,New Zealand,3,Kane Williamson,c Gulbadin Naib b Rashid Khan,9,13,38,1,0,69.23
Afghanistan vs New Zealand,New Zealand,4,Daryl Mitchell,c †Rahmanullah Gurbaz b Fazalhaq Farooqi,5,5,10,1,0,100.00
Afghanistan vs New Zealand,New Zealand,5,Glenn Phillips,c Rashid Khan b Mohammad Nabi,18,18,28,2,0,100.00
Afghanistan vs New Zealand,New Zealand,6,Mark Chapman, b Rashid Khan,4,7,8,0,0,57.14
Afghanistan vs New Zealand,New Zealand,7,Michael Bracewell,lbw b Rashid Khan,0,1,2,0,0,0.00
Afghanistan vs New Zealand,New Zealand,8,Mitchell Santner, b Mohammad Nabi,4,8,12,0,0,50.00
Afghanistan vs New Zealand,New Zealand,9,Matt Henry,c Karim Janat b Fazalhaq Farooqi,12,17,21,0,1,70.58
Afghanistan vs New Zealand,New Zealand,10,Lockie Ferguson,c & b Rashid Khan,2,5,3,0,0,40.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Australia vs England,Australia,1,Travis Head, b Archer,34,18,25,2,3,188.88
Australia vs England,Australia,2,David Warner, b Ali,39,16,22,2,4,243.75
Australia vs England,Australia,3,Mitchell Marsh,st †Buttler b Livingstone,35,25,43,2,2,140.00
Australia vs England,Australia,4,Glenn Maxwell,c Salt b Rashid,28,25,44,3,1,112.00
Australia vs England,Australia,5,Marcus Stoinis,c Brook b Jordan,30,17,30,2,2,176.47
Australia vs England,Australia,6,Tim David,c Livingstone b Jordan,11,8,10,0,1,137.50
Australia vs England,Australia,7,Matthew Wade,,17,10,21,3,0,170.00
Australia vs England,Australia,8,Pat Cummins,run out (†Buttler/Jordan),0,1,1,0,0,0.00
Australia vs England,Australia,9,Mitchell Starc,,0,0,3,0,0,-
Australia vs England,England,1,Phil Salt, b Zampa,37,23,36,4,2,160.86
Australia vs England,England,2,Jos Buttler,c Cummins b Zampa,42,28,47,5,2,150.00
Australia vs England,England,3,Will Jacks,c Starc b Stoinis,10,10,15,1,0,100.00
Australia vs England,England,4,Jonny Bairstow,c Maxwell b Hazlewood,7,13,17,0,0,53.84
Australia vs England,England,5,Moeen Ali,c Warner b Cummins,25,15,21,0,3,166.66
Australia vs England,England,6,Harry Brook,,20,16,28,2,0,125.00
Australia vs England,England,7,Liam Livingstone,c Starc b Cummins,15,12,13,0,1,125.00
Australia vs England,England,8,Chris Jordan,,1,3,5,0,0,33.33
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
U.S.A. vs Pakistan,Pakistan,1,Mohammad Rizwan,c Taylor b Netravalkar,9,8,5,0,1,112.50
U.S.A. vs Pakistan,Pakistan,2,Babar Azam,lbw b Jasdeep Singh,44,43,76,3,2,102.32
U.S.A. vs Pakistan,Pakistan,3,Usman Khan,c Kumar b Kenjige,3,3,5,0,0,100.00
U.S.A. vs Pakistan,Pakistan,4,Fakhar Zaman,c Taylor b Ali Khan,11,7,11,0,1,157.14
U.S.A. vs Pakistan,Pakistan,5,Shadab Khan,c Netravalkar b Kenjige,40,25,35,1,3,160.00
U.S.A. vs Pakistan,Pakistan,6,Azam Khan,lbw b Kenjige,0,1,2,0,0,0.00
U.S.A. vs Pakistan,Pakistan,7,Iftikhar Ahmed,lbw b Netravalkar,18,14,27,3,0,128.57
U.S.A. vs Pakistan,Pakistan,8,Shaheen Shah Afridi,,23,16,25,1,2,143.75
U.S.A. vs Pakistan,Pakistan,9,Haris Rauf,,3,3,11,0,0,100.00
U.S.A. vs Pakistan,United States of America,1,Steven Taylor,c Mohammad Rizwan b Naseem Shah,12,16,-,1,0,75.00
U.S.A. vs Pakistan,United States of America,2,Monank Patel,c Mohammad Rizwan b Mohammad Amir,50,38,-,7,1,131.57
U.S.A. vs Pakistan,United States of America,3,Andries Gous, b Haris Rauf,35,26,-,5,1,134.61
U.S.A. vs Pakistan,United States of America,4,Aaron Jones,,36,26,-,2,2,138.46
U.S.A. vs Pakistan,United States of America,5,Nitish Kumar,,14,14,-,1,0,100.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Namibia vs Scotland,Namibia,1,JP Kotze,c McMullen b Wheal,0,3,2,0,0,0.00
Namibia vs Scotland,Namibia,2,Nikolaas Davin,c Currie b Sole,20,12,24,4,0,166.66
Namibia vs Scotland,Namibia,3,Jan Frylinck, b Currie,12,14,13,2,0,85.71
Namibia vs Scotland,Namibia,4,Gerhard Erasmus,st †Cross b Leask,52,31,44,5,2,167.74
Namibia vs Scotland,Namibia,5,Malan Kruger,c Jones b Greaves,2,8,13,0,0,25.00
Namibia vs Scotland,Namibia,6,Zane Green,c Jones b Wheal,28,27,39,1,1,103.70
Namibia vs Scotland,Namibia,7,David Wiese,c Watt b Wheal,14,13,14,0,1,107.69
Namibia vs Scotland,Namibia,8,Ruben Trumpelmann,c Wheal b Currie,1,2,5,0,0,50.00
Namibia vs Scotland,Namibia,9,JJ Smit,run out (Jones/Wheal),11,8,9,0,1,137.50
Namibia vs Scotland,Namibia,10,Bernard Scholtz,,6,4,9,0,0,150.00
Namibia vs Scotland,Scotland,1,George Munsey,c Wiese b Lungameni,7,15,21,0,0,46.66
Namibia vs Scotland,Scotland,2,Michael Jones,c †Green b Erasmus,26,20,38,3,1,130.00
Namibia vs Scotland,Scotland,3,Brandon McMullen,st †Green b Erasmus,19,17,25,2,0,111.76
Namibia vs Scotland,Scotland,4,Richie Berrington,,47,35,48,2,2,134.28
Namibia vs Scotland,Scotland,5,Matthew Cross,lbw b Scholtz,3,5,4,0,0,60.00
Namibia vs Scotland,Scotland,6,Michael Leask,c Wiese b Trumpelmann,35,17,29,0,4,205.88
Namibia vs Scotland,Scotland,7,Chris Greaves,,4,3,4,0,0,133.33
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
P.N.G. vs Uganda,Papua New Guinea,1,Assad Vala,lbw b Ramjani,0,2,2,0,0,0.00
P.N.G. vs Uganda,Papua New Guinea,2,Tony Ura,c Mukasa b Kyewuta,2,6,21,0,0,33.33
P.N.G. vs Uganda,Papua New Guinea,3,Sese Bau,c Mukasa b Miyagi,5,9,11,1,0,55.55
P.N.G. vs Uganda,Papua New Guinea,4,Lega Siaka,run out (Kyewuta/†Ssesazi),12,17,19,1,0,70.58
P.N.G. vs Uganda,Papua New Guinea,5,Hiri Hiri,lbw b Nsubuga,15,19,32,2,0,78.94
P.N.G. vs Uganda,Papua New Guinea,6,Charles Amini, b Nsubuga,5,14,10,0,0,35.71
P.N.G. vs Uganda,Papua New Guinea,7,Kiplin Doriga,lbw b Ramjani,12,20,18,0,1,60.00
P.N.G. vs Uganda,Papua New Guinea,8,Chad Soper, b Masaba,4,11,15,0,0,36.36
P.N.G. vs Uganda,Papua New Guinea,9,Norman Vanua,c †Ssesazi b Kyewuta,5,10,17,0,0,50.00
P.N.G. vs Uganda,Papua New Guinea,10,Alei Nao, b Miyagi,5,6,10,0,0,83.33
P.N.G. vs Uganda,Uganda,1,Roger Mukasa,lbw b Nao,0,3,2,0,0,0.00
P.N.G. vs Uganda,Uganda,2,Simon Ssesazi,lbw b Nao,1,3,13,0,0,33.33
P.N.G. vs Uganda,Uganda,3,Robinson Obuya,c Vala b Vanua,1,2,4,0,0,50.00
P.N.G. vs Uganda,Uganda,4,Riazat Ali Shah,c Kariko b Vanua,33,56,68,1,0,58.92
P.N.G. vs Uganda,Uganda,5,Alpesh Ramjani, b Soper,8,10,15,1,0,80.00
P.N.G. vs Uganda,Uganda,6,Dinesh Nakrani,c & b Vala,0,3,2,0,0,0.00
P.N.G. vs Uganda,Uganda,7,Juma Miyagi,run out (Vanua/Nao),13,16,25,0,0,81.25
P.N.G. vs Uganda,Uganda,8,Kenneth Waiswa,,7,16,19,0,0,43.75
P.N.G. vs Uganda,Uganda,9,Brian Masaba,,0,1,3,0,0,0.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Scotland vs England,Scotland,1,George Munsey,,41,31,46,4,2,132.25
Scotland vs England,Scotland,2,Michael Jones,,45,30,46,4,2,150.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Ireland vs India,Ireland,1,Andy Balbirnie, b Arshdeep Singh,5,10,-,1,0,50.00
Ireland vs India,Ireland,2,Paul Stirling,c †Pant b Arshdeep Singh,2,6,-,0,0,33.33
Ireland vs India,Ireland,3,Lorcan Tucker, b Pandya,10,13,-,2,0,76.92
Ireland vs India,Ireland,4,Harry Tector,c Kohli b Bumrah,4,16,-,0,0,25.00
Ireland vs India,Ireland,5,Curtis Campher,c †Pant b Pandya,12,8,-,1,1,150.00
Ireland vs India,Ireland,6,George Dockrell,c Bumrah b Mohammed Siraj,3,5,-,0,0,60.00
Ireland vs India,Ireland,7,Gareth Delany,run out (Mohammed Siraj/†Pant),26,14,-,2,2,185.71
Ireland vs India,Ireland,8,Mark Adair,c Dube b Pandya,3,2,-,0,0,150.00
Ireland vs India,Ireland,9,Barry McCarthy,c & b Patel,0,6,-,0,0,0.00
Ireland vs India,Ireland,10,Josh Little, b Bumrah,14,13,-,2,0,107.69
Ireland vs India,India,1,Rohit Sharma,,52,37,48,4,3,140.54
Ireland vs India,India,2,Virat Kohli,c White b Adair,1,5,13,0,0,20.00
Ireland vs India,India,3,Rishabh Pant,,36,26,46,3,2,138.46
Ireland vs India,India,4,Suryakumar Yadav,c Dockrell b White,2,4,9,0,0,50.00
Ireland vs India,India,5,Shivam Dube,,0,2,3,0,0,0.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Australia vs Oman,Australia,1,David Warner,c Shoaib Khan b Kaleemullah,56,51,91,6,1,109.80
Australia vs Oman,Australia,2,Travis Head,c Khalid Kail b Bilal Khan,12,10,13,2,0,120.00
Australia vs Oman,Australia,3,Mitchell Marsh,c Shoaib Khan b Mehran Khan,14,21,25,2,0,66.66
Australia vs Oman,Australia,4,Glenn Maxwell,c Aqib Ilyas b Mehran Khan,0,1,1,0,0,0.00
Australia vs Oman,Australia,5,Marcus Stoinis,,67,36,55,2,6,186.11
Australia vs Oman,Australia,6,Tim David,run out (Ayaan Khan/†Athavale),9,4,5,2,0,225.00
Australia vs Oman,Oman,1,Kashyap Prajapati,lbw b Ellis,7,16,27,1,0,43.75
Australia vs Oman,Oman,2,Pratik Athavale,lbw b Starc,0,1,3,0,0,0.00
Australia vs Oman,Oman,3,Aqib Ilyas,c †Wade b Stoinis,18,18,29,2,1,100.00
Australia vs Oman,Oman,4,Zeeshan Maqsood,c †Wade b Stoinis,1,7,12,0,0,14.28
Australia vs Oman,Oman,5,Khalid Kail,c Maxwell b Starc,8,12,24,1,0,66.66
Australia vs Oman,Oman,6,Ayaan Khan,c Hazlewood b Zampa,36,30,42,2,2,120.00
Australia vs Oman,Oman,7,Shoaib Khan, b Zampa,0,4,7,0,0,0.00
Australia vs Oman,Oman,8,Mehran Khan,c David b Stoinis,27,16,34,1,2,168.75
Australia vs Oman,Oman,9,Shakeel Ahmed,c Warner b Ellis,11,10,21,1,0,110.00
Australia vs Oman,Oman,10,Kaleemullah,,6,4,6,0,0,150.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Afghanistan vs Uganda,Afghanistan,1,Rahmanullah Gurbaz,c Riazat Ali Shah b Ramjani,76,45,70,4,4,168.88
Afghanistan vs Uganda,Afghanistan,2,Ibrahim Zadran, b Masaba,70,46,66,9,1,152.17
Afghanistan vs Uganda,Afghanistan,3,Najibullah Zadran,c Nakrani b Masaba,2,3,8,0,0,66.66
Afghanistan vs Uganda,Afghanistan,4,Mohammad Nabi,,14,16,23,0,0,87.50
Afghanistan vs Uganda,Afghanistan,5,Gulbadin Naib,c Masaba b Kyewuta,4,5,6,0,0,80.00
Afghanistan vs Uganda,Afghanistan,6,Azmatullah Omarzai,c Ramjani b Kyewuta,5,5,9,0,0,100.00
Afghanistan vs Uganda,Afghanistan,7,Rashid Khan,,2,1,1,0,0,200.00
Afghanistan vs Uganda,Uganda,1,Ronak Patel, b Fazalhaq Farooqi,4,2,1,1,0,200.00
Afghanistan vs Uganda,Uganda,2,Simon Ssesazi,c Fazalhaq Farooqi b Mujeeb Ur Rahman,4,4,9,1,0,100.00
Afghanistan vs Uganda,Uganda,3,Roger Mukasa,lbw b Fazalhaq Farooqi,0,1,1,0,0,0.00
Afghanistan vs Uganda,Uganda,4,Riazat Ali Shah, b Fazalhaq Farooqi,11,34,56,0,0,32.35
Afghanistan vs Uganda,Uganda,5,Dinesh Nakrani, b Naveen-ul-Haq,6,8,11,1,0,75.00
Afghanistan vs Uganda,Uganda,6,Alpesh Ramjani,c Gulbadin Naib b Naveen-ul-Haq,0,2,1,0,0,0.00
Afghanistan vs Uganda,Uganda,7,Robinson Obuya,c †Rahmanullah Gurbaz b Fazalhaq Farooqi,14,25,42,0,1,56.00
Afghanistan vs Uganda,Uganda,8,Brian Masaba,c †Rahmanullah Gurbaz b Fazalhaq Farooqi,0,1,1,0,0,0.00
Afghanistan vs Uganda,Uganda,9,Bilal Hassan,lbw b Rashid Khan,8,16,18,1,0,50.00
Afghanistan vs Uganda,Uganda,10,Cosmas Kyewuta,,2,2,15,0,0,100.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Nepal vs Netherlands,Nepal,1,Kushal Bhurtel,lbw b van Beek,7,10,14,1,0,70.00
Nepal vs Netherlands,Nepal,2,Aasif Sheikh,c Kingma b Pringle,4,8,8,1,0,50.00
Nepal vs Netherlands,Nepal,3,Anil Sah,c van Beek b Pringle,11,12,29,2,0,91.66
Nepal vs Netherlands,Nepal,4,Rohit Paudel,c O'Dowd b Pringle,35,37,59,5,0,94.59
Nepal vs Netherlands,Nepal,5,Kushal Malla,c O'Dowd b van Meekeren,9,9,8,1,0,100.00
Nepal vs Netherlands,Nepal,6,Dipendra Singh Airee,c van Beek b de Leede,1,6,4,0,0,16.66
Nepal vs Netherlands,Nepal,7,Sompal Kami, b van Meekeren,0,5,10,0,0,0.00
Nepal vs Netherlands,Nepal,8,Gulsan Jha, b van Beek,14,15,28,0,1,93.33
Nepal vs Netherlands,Nepal,9,Karan KC,c Kingma b de Leede,17,12,13,0,2,141.66
Nepal vs Netherlands,Nepal,10,Sagar Dhakal,,0,1,3,0,0,0.00
Nepal vs Netherlands,Netherlands,1,Michael Levitt,c Airee b Sompal Kami,1,3,6,0,0,33.33
Nepal vs Netherlands,Netherlands,2,Max O'Dowd,,54,48,86,4,1,112.50
Nepal vs Netherlands,Netherlands,3,Vikramjit Singh,lbw b Airee,22,28,32,4,0,78.57
Nepal vs Netherlands,Netherlands,4,Sybrand Engelbrecht,run out (Sompal Kami),14,16,18,1,0,87.50
Nepal vs Netherlands,Netherlands,5,Scott Edwards, b Bohara,5,8,11,0,0,62.50
Nepal vs Netherlands,Netherlands,6,Bas de Leede,,11,10,13,1,0,110.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Sri Lanka vs South Africa,Sri Lanka,1,Pathum Nissanka,c Klaasen b Baartman,3,8,15,0,0,37.50
Sri Lanka vs South Africa,Sri Lanka,2,Kusal Mendis,c Stubbs b Nortje,19,30,46,1,0,63.33
Sri Lanka vs South Africa,Sri Lanka,3,Kamindu Mendis,c Hendricks b Nortje,11,15,19,1,0,73.33
Sri Lanka vs South Africa,Sri Lanka,4,Wanindu Hasaranga,st †de Kock b Maharaj,0,2,2,0,0,0.00
Sri Lanka vs South Africa,Sri Lanka,5,Sadeera Samarawickrama, b Maharaj,0,1,1,0,0,0.00
Sri Lanka vs South Africa,Sri Lanka,6,Charith Asalanka,c Hendricks b Nortje,6,9,11,0,0,66.66
Sri Lanka vs South Africa,Sri Lanka,7,Angelo Mathews,c Baartman b Nortje,16,16,24,0,2,100.00
Sri Lanka vs South Africa,Sri Lanka,8,Dasun Shanaka, b Rabada,9,10,13,0,1,90.00
Sri Lanka vs South Africa,Sri Lanka,9,Maheesh Theekshana,,7,16,20,1,0,43.75
Sri Lanka vs South Africa,Sri Lanka,10,Matheesha Pathirana,c Markram b Rabada,0,4,8,0,0,0.00
Sri Lanka vs South Africa,South Africa,1,Quinton de Kock,c & b Hasaranga,20,27,54,0,1,74.07
Sri Lanka vs South Africa,South Africa,2,Reeza Hendricks,c PHKD Mendis b Thushara,4,2,8,1,0,200.00
Sri Lanka vs South Africa,South Africa,3,Aiden Markram,c PHKD Mendis b Shanaka,12,14,14,0,1,85.71
Sri Lanka vs South Africa,South Africa,4,Tristan Stubbs,c Asalanka b Hasaranga,13,28,39,0,0,46.42
Sri Lanka vs South Africa,South Africa,5,Heinrich Klaasen,,19,22,22,1,1,86.36
Sri Lanka vs South Africa,South Africa,6,David Miller,,6,6,13,1,0,100.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
U.S.A. vs Canada,Canada,1,Aaron Johnson,c Kumar b Harmeet Singh,23,16,24,5,0,143.75
U.S.A. vs Canada,Canada,2,Navneet Dhaliwal,c Jasdeep Singh b Anderson,61,44,62,6,3,138.63
U.S.A. vs Canada,Canada,3,Pargat Singh,run out (Jasdeep Singh/†Patel),5,7,12,0,0,71.42
U.S.A. vs Canada,Canada,4,Nicholas Kirton,c Anderson b Ali Khan,51,31,43,3,2,164.51
U.S.A. vs Canada,Canada,5,Shreyas Movva,,32,16,29,2,2,200.00
U.S.A. vs Canada,Canada,6,Dilpreet Bajwa,run out (Taylor/†Patel),11,5,5,1,1,220.00
U.S.A. vs Canada,Canada,7,Dilon Heyliger,,1,1,4,0,0,100.00
U.S.A. vs Canada,United States of America,1,Steven Taylor,lbw b Kaleem Sana,0,2,2,0,0,0.00
U.S.A. vs Canada,United States of America,2,Monank Patel,c †Movva b Heyliger,16,16,33,2,0,100.00
U.S.A. vs Canada,United States of America,3,Andries Gous,c Johnson b Dutta,65,46,76,7,3,141.30
U.S.A. vs Canada,United States of America,4,Aaron Jones,,94,40,56,4,10,235.00
U.S.A. vs Canada,United States of America,5,Corey Anderson,,3,5,8,0,0,60.00
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
West Indies vs P.N.G.,Papua New Guinea,1,Tony Ura,c †Pooran b Shepherd,2,5,7,0,0,40.00
West Indies vs P.N.G.,Papua New Guinea,2,Assad Vala,c Chase b Joseph,21,22,26,2,1,95.45
West Indies vs P.N.G.,Papua New Guinea,3,Lega Siaka, b Hosein,1,2,2,0,0,50.00
West Indies vs P.N.G.,Papua New Guinea,4,Sese Bau, b Joseph,50,43,55,6,1,116.27
West Indies vs P.N.G.,Papua New Guinea,5,Hiri Hiri,c Powell b Motie,2,6,10,0,0,33.33
West Indies vs P.N.G.,Papua New Guinea,6,Charles Amini,c †Pooran b Russell,12,14,22,0,0,85.71
West Indies vs P.N.G.,Papua New Guinea,7,Kiplin Doriga,,27,18,23,3,0,150.00
West Indies vs P.N.G.,Papua New Guinea,8,Chad Soper, b Russell,10,9,10,1,0,111.11
West Indies vs P.N.G.,Papua New Guinea,9,Alei Nao,run out (Joseph),0,0,2,0,0,-
West Indies vs P.N.G.,Papua New Guinea,10,Kabua Morea,,2,2,3,0,0,100.00
West Indies vs P.N.G.,West Indies,1,Brandon King,c Siaka b Vala,34,29,44,7,0,117.24
West Indies vs P.N.G.,West Indies,2,Johnson Charles,lbw b Nao,0,1,6,0,0,0.00
West Indies vs P.N.G.,West Indies,3,Nicholas Pooran,c Ura b Kariko,27,27,30,1,2,100.00
West Indies vs P.N.G.,West Indies,4,Roston Chase,,42,27,39,4,2,155.55
West Indies vs P.N.G.,West Indies,5,Rovman Powell,c †Doriga b Soper,15,14,14,2,0,107.14
West Indies vs P.N.G.,West Indies,6,Sherfane Rutherford,c †Doriga b Vala,2,7,6,0,0,28.57
West Indies vs P.N.G.,West Indies,7,Andre Russell,,15,9,11,0,1,166.66
match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR
Oman vs Namibia,Oman,1,Kashyap Prajapati,lbw b Trumpelmann,0,1,1,0,0,0.00
Oman vs Namibia,Oman,2,Naseem Khushi,c Erasmus b Trumpelmann,6,6,16,1,0,100.00
Oman vs Namibia,Oman,3,Aqib Ilyas,lbw b Trumpelmann,0,1,2,0,0,0.00
Oman vs Namibia,Oman,4,Zeeshan Maqsood,lbw b Scholtz,22,20,29,4,0,110.00
Oman vs Namibia,Oman,5,Khalid Kail,c & b Wiese,34,39,56,1,1,87.17
Oman vs Namibia,Oman,6,Ayaan Khan,c Frylinck b Erasmus,15,21,16,0,1,71.42
Oman vs Namibia,Oman,7,Mohammad Nadeem,lbw b Erasmus,6,10,10,0,0,60.00
Oman vs Namibia,Oman,8,Mehran Khan,lbw b Wiese,7,8,12,1,0,87.50
Oman vs Namibia,Oman,9,Shakeel Ahmed,c Trumpelmann b Wiese,11,9,13,2,0,122.22
Oman vs Namibia,Oman,10,Kaleemullah,lbw b Trumpelmann,2,3,4,0,0,66.66
Oman vs Namibia,Namibia,1,Michael van Lingen, b Bilal Khan,0,2,1,0,0,0.00
Oman vs Namibia,Namibia,2,Nikolaas Davin,c Mohammad Nadeem b Aqib Ilyas,24,31,35,2,1,77.41
Oman vs Namibia,Namibia,3,Jan Frylinck, b Mehran Khan,45,48,77,6,0,93.75
Oman vs Namibia,Namibia,4,Gerhard Erasmus,c Zeeshan Maqsood b Ayaan Khan,13,16,19,1,0,81.25
Oman vs Namibia,Namibia,5,JJ Smit,c Ayaan Khan b Mehran Khan,8,12,13,1,0,66.66
Oman vs Namibia,Namibia,6,David Wiese,,9,8,15,0,1,112.50
Oman vs Namibia,Namibia,7,Zane Green,lbw b Mehran Khan,0,2,2,0,0,0.00
Oman vs Namibia,Namibia,8,Malan Kruger,,1,1,3,0,0,100.00
